,UrlToCrawl,LinkToFind,Http Status,Account Name
,,,,
,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/rozlicz/0000471634/,200,Arka Noego 
,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/pobierz/0000471634/,200,Arka Noego 
,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.iwop.pl/,200,Arka Noego 
,http://fundacjaarkanoego.pl/rozlicz-pit/,https://www.pitax.pl/,,Arka Noego 
,http://orkiestra.xf.pl/,https://www.pitax.pl/krs/0000253735/,,Bialska Orkiestra Dęta 
,http://orkiestra.xf.pl/,https://www.iwop.pl/,,Bialska Orkiestra Dęta 
,http://orkiestra.xf.pl/,https://www.pitax.pl/,,Bialska Orkiestra Dęta 
,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/pobierz/0000225750/,,Caritas Archidiecezji Warszawskiej 
,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/rozlicz/0000225750/,,Caritas Archidiecezji Warszawskiej 
,http://warszawa.caritas.pl/pomoc/1-procent/,https://www.pitax.pl/,,Caritas Archidiecezji Warszawskiej 
,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/0000219742,,Caritas Archidiecezji Wrocławskiej 
,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/rozlicz?krs=0000219742&cel=,,Caritas Archidiecezji Wrocławskiej 
,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/krs/formularze/0000219742/,,Caritas Archidiecezji Wrocławskiej 
,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.iwop.pl/,,Caritas Archidiecezji Wrocławskiej 
,http://wroclaw.caritas.pl/chce-pomoc/1_procent/,https://www.pitax.pl/,,Caritas Archidiecezji Wrocławskiej 
,http://caritasgliwice.pl/,https://www.pitax.pl/,,Caritas Diecezji Gliwickiej
,http://caritasgliwice.pl/,https://www.pitax.pl/rozlicz/0000247809/,,Caritas Diecezji Gliwickiej
,http://caritasgliwice.pl/,https://www.pitax.pl/pobierz/0000247809/,,Caritas Diecezji Gliwickiej
,http://www.sandomierz.caritas.pl/,https://www.iwop.pl/,,Caritas Diecezji Sandomierskiej
,http://www.sandomierz.caritas.pl/,https://www.pitax.pl/,,Caritas Diecezji Sandomierskiej
,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,https://www.pitax.pl/krs/0000213751,,Caritas Diecezji Sandomierskiej
,http://www.sandomierz.caritas.pl/1-podatku/mozesz-pomoc1-podatku/,http://www.pitax.pl/krs/formularze/0000213751/,,Caritas Diecezji Sandomierskiej
